,Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,u*mag,g'mag,r'mag,i'mag,z'mag,gr,r
65,0.00012351,-2.1,10.1,0.7858439088,2.4136709995,0.783,1.373,3.7267,2.817,3,0.0,0.535,0.0,0.0,0.0,0.0,0.0,-1,-1.29e-11,0.0,0.7575,0.2423,2.21e-05,6.074e-06,5.505e-05,-1.0,0.0001296,1.337,2.654,1.826,1.336,1.172,1.096,0.49,19.266121911934874
66,0.00012351,-2.1,10.1,0.7860536575,2.4137474046,0.783,1.421,3.7252,2.764,3,0.0,0.535,0.0,0.0,0.0,0.0,0.0,-1,-1.54e-11,0.0,0.7569,0.243,2.209e-05,6.089e-06,5.51e-05,-1.0,0.0001256,1.218,2.549,1.713,1.219,1.052,0.974,0.494,19.149121911934877
67,0.00012351,-2.1,10.1,0.7862414122,2.4138157582,0.783,1.467,3.7237,2.711,3,0.0,0.534,0.0,0.0,0.0,0.0,0.0,-1,-1.82e-11,0.0,0.7563,0.2436,2.207e-05,6.105e-06,5.513e-05,-1.0,0.0001278,1.102,2.444,1.601,1.103,0.934,0.854,0.498,19.033121911934877
68,0.00012351,-2.1,10.1,0.7864190936,2.41388041,0.783,1.516,3.7222,2.657,3,0.0,0.533,0.0,0.0,0.0,0.0,0.0,-1,-2.16e-11,0.0,0.7559,0.244,2.206e-05,6.122e-06,5.516e-05,-1.0,0.0001305,0.98,2.336,1.486,0.983,0.812,0.73,0.503,18.913121911934876
69,0.00012351,-2.1,10.1,0.7865768671,2.4139377898,0.783,1.563,3.7206,2.603,3,0.0,0.533,0.0,0.0,0.0,0.0,0.0,-1,-2.57e-11,0.0,0.7555,0.2443,2.204e-05,6.138e-06,5.518e-05,-1.0,0.0001304,0.863,2.232,1.375,0.866,0.693,0.61,0.509,18.796121911934875
70,0.00012351,-2.1,10.1,0.7867169976,2.4139887309,0.783,1.609,3.719,2.551,3,0.0,0.532,0.0,0.0,0.0,0.0,0.0,-1,-3.03e-11,0.0,0.7553,0.2446,2.203e-05,6.15e-06,5.519e-05,-1.0,0.0001304,0.748,2.131,1.267,0.753,0.578,0.493,0.5139999999999999,18.683121911934876
71,0.00012351,-2.1,10.1,0.7868440747,2.4140349088,0.783,1.654,3.7175,2.5,3,0.0,0.532,0.0,0.0,0.0,0.0,0.0,-1,-3.56e-11,0.0,0.7552,0.2447,2.202e-05,6.157e-06,5.52e-05,-1.0,0.0001126,0.635,2.032,1.16,0.642,0.464,0.377,0.5179999999999999,18.572121911934875
72,0.00012351,-2.1,10.1,0.7869631052,2.4140781471,0.783,1.7,3.7159,2.447,3,0.0,0.532,0.0,0.0,0.0,0.0,0.0,-1,-4.21e-11,0.0,0.7551,0.2448,2.201e-05,6.162e-06,5.521e-05,-1.0,0.0001305,0.52,1.935,1.052,0.527,0.347,0.259,0.525,18.457121911934877
73,0.00012351,-2.1,10.1,0.7870683074,2.4141163497,0.782,1.745,3.7143,2.396,3,0.0,0.532,0.0,0.0,0.0,0.0,0.0,-1,-4.95e-11,0.0,0.755,0.2448,2.201e-05,6.164e-06,5.521e-05,-1.0,0.0001305,0.409,1.842,0.948,0.417,0.234,0.144,0.5309999999999999,18.347121911934877
74,0.00012351,-2.1,10.1,0.7871654034,2.4141515982,0.782,1.789,3.7128,2.345,3,0.0,0.532,0.0,0.0,0.0,0.0,0.0,-1,-5.82e-11,0.0,0.755,0.2448,2.201e-05,6.164e-06,5.521e-05,-1.0,0.0001305,0.297,1.748,0.843,0.306,0.121,0.029,0.5369999999999999,18.236121911934877
75,0.00012351,-2.1,10.1,0.7872546315,2.4141839816,0.782,1.834,3.7111,2.294,3,0.0,0.532,0.0,0.0,0.0,0.0,0.0,-1,-6.84e-11,0.0,0.755,0.2448,2.201e-05,6.164e-06,5.521e-05,-1.0,0.0001305,0.185,1.655,0.739,0.196,0.008,-0.086,0.5429999999999999,18.126121911934877
76,0.00012351,-2.1,10.1,0.7873338461,2.4142127238,0.782,1.877,3.7095,2.244,3,0.0,0.532,0.0,0.0,0.0,0.0,0.0,-1,-1.09e-11,0.0,0.755,0.2448,2.201e-05,6.165e-06,5.521e-05,-1.0,0.0001305,0.078,1.567,0.639,0.089,-0.101,-0.196,0.55,18.019121911934874
77,0.00012351,-2.1,10.1,0.7874070406,2.4142392757,0.781,1.92,3.708,2.195,3,0.0,0.532,0.0,0.0,0.0,0.0,0.0,-1,-3.99e-12,0.0,0.755,0.2449,2.201e-05,6.165e-06,5.521e-05,-1.0,0.0001305,-0.029,1.479,0.54,-0.016,-0.209,-0.306,0.556,17.914121911934878
78,0.00012351,-2.1,10.1,0.7874773741,2.4142647845,0.781,1.964,3.7063,2.144,3,0.0,0.532,0.0,0.0,0.0,0.0,0.0,-1,-3.61e-12,0.0,0.755,0.2449,2.201e-05,6.165e-06,5.522e-05,-1.0,0.0001305,-0.14,1.389,0.438,-0.126,-0.321,-0.421,0.5640000000000001,17.804121911934875
79,0.00012351,-2.1,10.1,0.7875376344,2.4142866357,0.781,2.005,3.7047,2.096,3,0.0,0.532,0.0,0.0,0.0,0.0,0.0,-1,-4.22e-12,0.0,0.755,0.2449,2.201e-05,6.165e-06,5.522e-05,-1.0,0.0001305,-0.244,1.306,0.343,-0.227,-0.426,-0.527,0.5700000000000001,17.703121911934875
80,0.00012351,-2.1,10.1,0.7875933051,2.4143068192,0.781,2.047,3.7031,2.048,3,0.0,0.532,0.0,0.0,0.0,0.0,0.0,-1,-4.92e-12,0.0,0.755,0.2449,2.201e-05,6.165e-06,5.522e-05,-1.0,0.0001304,-0.347,1.224,0.249,-0.328,-0.529,-0.632,0.577,17.602121911934876
81,0.00012351,-2.1,10.1,0.7876465321,2.4143261137,0.78,2.089,3.7015,1.999,3,0.0,0.532,0.0,0.0,0.0,0.0,0.0,-1,-5.75e-12,0.0,0.755,0.2449,2.201e-05,6.166e-06,5.522e-05,-1.0,0.0001305,-0.452,1.138,0.151,-0.433,-0.636,-0.741,0.584,17.497121911934876
82,0.00012351,-2.1,10.1,0.7876929641,2.4143429426,0.78,2.129,3.6998,1.953,3,0.0,0.532,0.0,0.0,0.0,0.0,0.0,-1,-6.67e-12,0.0,0.755,0.2449,2.201e-05,6.166e-06,5.522e-05,-1.0,0.0001305,-0.551,1.063,0.062,-0.53,-0.737,-0.843,0.5920000000000001,17.400121911934875
83,0.00012351,-2.1,10.1,0.7877364755,2.4143587108,0.779,2.168,3.6983,1.907,3,0.0,0.532,0.0,0.0,0.0,0.0,0.0,-1,-7.71e-12,0.0,0.755,0.2449,2.201e-05,6.166e-06,5.522e-05,-1.0,0.0001305,-0.65,0.989,-0.027,-0.627,-0.836,-0.944,0.6,17.303121911934877
84,0.00012351,-2.1,10.1,0.787781775,2.414375125,0.779,2.206,3.6968,1.863,3,0.0,0.532,0.0,0.0,0.0,0.0,0.0,-1,-8.87e-12,0.0,0.755,0.2449,2.201e-05,6.166e-06,5.522e-05,-1.0,0.0001305,-0.744,0.917,-0.113,-0.719,-0.931,-1.041,0.606,17.211121911934875
85,0.00012351,-2.1,10.1,0.7878319025,2.414393286,0.778,2.236,3.6957,1.828,3,0.0,0.532,0.0,0.0,0.0,0.0,0.0,-1,-1e-11,0.0,0.755,0.2449,2.201e-05,6.166e-06,5.522e-05,-1.0,0.0001305,-0.819,0.86,-0.181,-0.793,-1.007,-1.119,0.6120000000000001,17.137121911934877
86,0.00012351,-2.1,10.1,0.7878553271,2.4144017718,0.778,2.23,3.6961,1.835,3,0.0,0.532,0.0,0.0,0.0,0.0,0.0,-1,-9.94e-12,0.0,0.755,0.2449,2.201e-05,6.166e-06,5.522e-05,-1.0,0.0001305,-0.805,0.868,-0.169,-0.779,-0.992,-1.104,0.61,17.151121911934876
87,0.00012351,-2.1,10.1,0.787861228,2.4144039093,0.778,2.237,3.6958,1.828,3,0.0,0.532,0.0,0.0,0.0,0.0,0.0,-1,-1.02e-11,0.0,0.755,0.2449,2.201e-05,6.166e-06,5.522e-05,-1.0,0.0001306,-0.821,0.856,-0.184,-0.795,-1.009,-1.121,0.611,17.135121911934874
88,0.00012351,-2.1,10.1,0.7878937721,2.4144156975,0.777,2.277,3.6941,1.78,3,0.0,0.532,0.0,0.0,0.0,0.0,0.0,-1,-1.17e-11,0.0,0.755,0.2449,2.201e-05,6.166e-06,5.522e-05,-1.0,0.0001305,-0.923,0.782,-0.275,-0.895,-1.112,-1.225,0.62,17.035121911934876
89,0.00012351,-2.1,10.1,0.7879266739,2.4144276141,0.777,2.32,3.6924,1.729,3,0.0,0.532,0.0,0.0,0.0,0.0,0.0,-1,-1.36e-11,0.0,0.755,0.2449,2.201e-05,6.167e-06,5.522e-05,-1.0,0.0001305,-1.031,0.701,-0.372,-1.001,-1.221,-1.337,0.6289999999999999,16.929121911934875
90,0.00012351,-2.1,10.1,0.7879546285,2.414437738,0.776,2.36,3.6906,1.683,3,0.0,0.532,0.0,0.0,0.0,0.0,0.0,-1,-1.57e-11,0.0,0.755,0.2449,2.201e-05,6.167e-06,5.522e-05,-1.0,0.0001305,-1.129,0.631,-0.459,-1.096,-1.32,-1.438,0.637,16.834121911934876
91,0.00012351,-2.1,10.1,0.7879821062,2.4144476884,0.775,2.401,3.6887,1.634,3,0.0,0.532,0.0,0.0,0.0,0.0,0.0,-1,-1.82e-11,0.0,0.755,0.2449,2.201e-05,6.167e-06,5.522e-05,-1.0,0.0001305,-1.232,0.559,-0.549,-1.196,-1.423,-1.543,0.6469999999999999,16.734121911934874
92,0.00012351,-2.1,10.1,0.7880077958,2.4144569905,0.775,2.442,3.687,1.585,3,0.0,0.532,0.0,0.0,0.0,0.0,0.0,-1,-2.11e-11,0.0,0.755,0.2449,2.201e-05,6.167e-06,5.522e-05,-1.0,0.0001305,-1.335,0.486,-0.64,-1.297,-1.527,-1.649,0.6569999999999999,16.633121911934875
93,0.00012351,-2.1,10.1,0.7880302072,2.4144651051,0.774,2.481,3.6852,1.539,3,0.0,0.532,0.0,0.0,0.0,0.0,0.0,-1,-2.42e-11,0.0,0.755,0.2449,2.201e-05,6.167e-06,5.522e-05,-1.0,0.0001305,-1.431,0.426,-0.723,-1.39,-1.624,-1.749,0.6669999999999999,16.540121911934875
94,0.00012351,-2.1,10.1,0.7880524993,2.4144731759,0.773,2.522,3.6833,1.49,3,0.0,0.532,6.77,5.39,3.83,2.96,2.4,3,-2.81e-11,0.0,0.755,0.2449,2.201e-05,6.167e-06,5.522e-05,-1.0,0.0001305,-1.534,0.376,-0.81,-1.492,-1.729,-1.856,0.6819999999999999,16.438121911934875
95,0.00012351,-2.1,10.1,0.7880722284,2.4144803184,0.772,2.561,3.6816,1.443,3,0.0,0.532,7.47,5.86,4.15,3.21,2.6,3,-3.22e-11,0.0,0.755,0.2449,2.201e-05,6.167e-06,5.522e-05,-1.0,0.0001305,-1.632,0.332,-0.89,-1.588,-1.829,-1.958,0.6980000000000001,16.342121911934875
96,0.00012351,-2.1,10.1,0.7880905867,2.4144869642,0.771,2.599,3.6798,1.397,3,0.0,0.532,8.24,6.37,4.49,3.48,2.82,3,-3.7e-11,0.0,0.755,0.2449,2.201e-05,6.167e-06,5.522e-05,-1.0,0.0001305,-1.728,0.296,-0.968,-1.683,-1.928,-2.06,0.7150000000000001,16.247121911934876
97,0.00012351,-2.1,10.1,0.78810817,2.4144933291,0.77,2.639,3.6779,1.349,3,0.0,0.532,9.11,6.94,4.87,3.79,3.06,3,-4.26e-11,0.0,0.755,0.2449,2.201e-05,6.167e-06,5.522e-05,-1.0,0.0001305,-1.827,0.265,-1.046,-1.779,-2.029,-2.163,0.7329999999999999,16.151121911934876
98,0.00012351,-2.1,10.1,0.7881270051,2.4145001468,0.769,2.684,3.6758,1.294,3,0.0,0.532,10.23,7.67,5.36,4.17,3.37,3,-5e-11,0.0,0.755,0.2449,2.201e-05,6.167e-06,5.522e-05,-1.0,0.0001305,-1.941,0.233,-1.133,-1.89,-2.145,-2.282,0.7569999999999999,16.040121911934875
99,0.00012351,-2.1,10.1,0.7881422043,2.4145056482,0.767,2.724,3.6738,1.246,3,0.0,0.532,11.32,8.36,5.82,4.53,3.67,3,-5.75e-11,0.0,0.755,0.2449,2.201e-05,6.167e-06,5.522e-05,-1.0,0.0001305,-2.04,0.215,-1.206,-1.986,-2.246,-2.386,0.78,15.944121911934875
100,0.00012351,-2.1,10.1,0.7881578803,2.4145113219,0.766,2.768,3.6717,1.193,3,0.0,0.532,12.67,9.2,6.38,4.97,4.03,2,-6.72e-11,0.0,0.755,0.2449,2.201e-05,6.167e-06,5.522e-05,-1.0,0.0001305,-2.149,0.201,-1.285,-2.092,-2.358,-2.501,0.8070000000000002,15.838121911934877
101,0.00012351,-2.1,10.1,0.7881708145,2.414516003,0.764,2.806,3.6698,1.146,3,0.0,0.532,13.99,10.01,6.91,5.4,4.37,2,-7.72e-11,0.0,0.755,0.2449,2.201e-05,6.167e-06,5.522e-05,-1.0,0.0001305,-2.246,0.19,-1.354,-2.185,-2.457,-2.603,0.831,15.745121911934877
102,0.00012351,-2.1,10.1,0.7881839275,2.4145207487,0.763,2.849,3.6675,1.094,3,0.0,0.532,15.63,11.0,7.56,5.91,4.79,2,-8.96e-11,0.0,0.7549,0.2449,2.201e-05,6.167e-06,5.522e-05,-1.0,0.0001305,-2.351,0.2,-1.422,-2.285,-2.564,-2.714,0.8630000000000002,15.645121911934876
103,0.00012351,-2.1,10.1,0.7881948948,2.4145247176,0.761,2.886,3.6657,1.048,3,0.0,0.532,17.2,11.93,8.17,6.4,5.18,2,-1.02e-10,0.0,0.7549,0.2449,2.201e-05,6.167e-06,5.522e-05,-1.0,0.0001305,-2.445,0.2,-1.484,-2.374,-2.659,-2.812,0.8900000000000001,15.556121911934877
104,0.00012351,-2.1,10.1,0.7882063985,2.4145288806,0.759,2.928,3.6634,0.996,3,0.0,0.532,19.21,13.1,8.94,7.01,5.68,2,-1.19e-10,0.0,0.7549,0.2449,2.201e-05,6.167e-06,5.522e-05,-1.0,0.0001305,-2.55,0.227,-1.545,-2.472,-2.766,-2.922,0.927,15.458121911934875
105,0.00012351,-2.1,10.1,0.7882180214,2.4145330866,0.756,2.973,3.6611,0.94,3,0.0,0.532,21.63,14.49,9.84,7.73,6.27,2,-1.39e-10,0.0,0.7549,0.2449,2.201e-05,6.168e-06,5.522e-05,-1.0,0.0001305,-2.663,0.263,-1.607,-2.577,-2.881,-3.043,0.97,15.353121911934878
106,0.00012351,-2.1,10.1,0.7882274389,2.4145364944,0.754,3.013,3.6589,0.89,3,0.0,0.532,24.03,15.85,10.72,8.43,6.84,1,-1.61e-10,0.0,0.7549,0.2449,2.201e-05,6.168e-06,5.522e-05,-1.0,0.0001305,-2.763,0.316,-1.653,-2.667,-2.982,-3.148,1.0139999999999998,15.263121911934874
107,0.00012351,-2.1,10.1,0.7882355452,2.4145394276,0.752,3.049,3.6569,0.845,3,0.0,0.532,26.42,17.18,11.58,9.12,7.39,1,-1.82e-10,0.0,0.7549,0.2449,2.201e-05,6.168e-06,5.522e-05,-1.0,0.0001305,-2.852,0.338,-1.701,-2.747,-3.07,-3.241,1.0459999999999998,15.183121911934876
108,0.00012351,-2.1,10.1,0.7882439494,2.4145424686,0.749,3.088,3.6548,0.795,3,0.0,0.532,29.34,18.77,12.6,9.94,8.06,1,-2.1e-10,0.0,0.7549,0.2449,2.201e-05,6.168e-06,5.522e-05,-1.0,0.0001305,-2.951,0.342,-1.757,-2.834,-3.166,-3.341,1.0770000000000002,15.096121911934876
109,0.00012351,-2.1,10.1,0.7882524729,2.4145455526,0.746,3.131,3.6524,0.741,3,0.0,0.532,32.88,20.68,13.82,10.91,8.85,1,-2.44e-10,0.0,0.7549,0.2449,2.201e-05,6.168e-06,5.522e-05,-1.0,0.0001305,-3.057,0.349,-1.817,-2.928,-3.27,-3.45,1.111,15.002121911934875
110,0.00012351,-2.1,10.1,0.788259685,2.4145481621,0.742,3.169,3.6502,0.692,3,0.0,0.532,36.47,22.58,15.02,11.88,9.64,1,-2.8e-10,0.0,0.7549,0.2449,2.201e-05,6.168e-06,5.522e-05,-1.0,0.0001305,-3.153,0.358,-1.869,-3.012,-3.363,-3.548,1.143,14.918121911934875
111,0.00012351,-2.1,10.1,0.7882668972,2.4145507716,0.738,3.209,3.6479,0.641,3,0.0,0.532,40.61,24.73,16.38,12.98,10.53,1,-3.23e-10,0.0,0.7549,0.2449,2.201e-05,6.168e-06,5.522e-05,-1.0,0.0001305,-3.253,0.365,-1.925,-3.098,-3.459,-3.649,1.1729999999999998,14.832121911934877
112,0.00012351,-2.1,10.1,0.7882736325,2.4145532085,0.734,3.247,3.6458,0.592,3,0.0,0.532,44.97,26.95,17.79,14.11,11.45,1,-3.71e-10,0.0,0.7549,0.2449,2.201e-05,6.168e-06,5.522e-05,-1.0,0.0001305,-3.346,0.376,-1.974,-3.178,-3.548,-3.743,1.204,14.752121911934875
113,0.00012351,-2.1,10.1,0.7900589108,2.4151974501,0.726,2.85,3.6698,1.08,8,0.52,0.418,15.87,11.13,7.64,5.99,4.85,2,-9.67e-08,0.0,0.7511,0.2487,1.684e-05,1.467e-05,5.369e-05,-1.0,0.0001621,-2.356,0.108,-1.457,-2.295,-2.569,-2.715,0.8379999999999999,15.635121911934874
114,0.00012351,-2.1,10.1,0.7900587916,2.4151974072,0.729,3.008,3.6597,0.883,8,0.52,0.418,24.16,15.9,10.74,8.46,6.86,1,-1.7e-07,0.0,0.7511,0.2487,1.684e-05,1.467e-05,5.369e-05,-1.0,0.0001621,-2.75,0.29,-1.655,-2.658,-2.97,-3.135,1.003,15.272121911934875
115,0.00012351,-2.1,10.1,0.790058732,2.4151973857,0.731,3.231,3.6453,0.604,8,0.52,0.416,43.84,26.37,17.42,13.82,11.21,1,-4.11e-07,0.0,0.7511,0.2487,1.684e-05,1.467e-05,5.369e-05,-1.0,0.0001621,-3.308,0.418,-1.932,-3.137,-3.508,-3.703,1.205,14.793121911934875
116,0.00012351,-2.1,10.1,0.790058434,2.4151972785,0.731,3.221,3.6486,0.627,7,0.523,0.403,41.73,25.29,16.73,13.27,10.77,1,-1e-30,0.0,0.7513,0.2486,1.613e-05,1.451e-05,5.318e-05,-1.0,0.0001305,-3.282,0.329,-1.959,-3.13,-3.491,-3.68,1.1709999999999998,14.800121911934877
117,0.00012351,-2.1,10.1,0.7900578976,2.4151970854,0.731,3.165,3.6525,0.699,7,0.0,0.404,35.8,22.2,14.78,11.69,9.49,1,-1e-30,0.0,0.7517,0.2481,1.632e-05,1.388e-05,5.364e-05,-1.0,0.0001304,-3.141,0.297,-1.89,-3.011,-3.356,-3.537,1.1210000000000002,14.919121911934877
118,0.00012351,-2.1,10.1,0.7900575995,2.4151969781,0.731,3.113,3.6559,0.764,7,0.0,0.404,31.16,19.74,13.21,10.43,8.46,1,-1e-30,0.0,0.7521,0.2477,1.645e-05,1.342e-05,5.399e-05,-1.0,0.0001304,-3.013,0.273,-1.826,-2.901,-3.232,-3.406,1.0749999999999997,15.029121911934876
119,0.00012351,-2.1,10.1,0.7900573611,2.4151968923,0.731,3.084,3.6577,0.801,7,0.0,0.405,28.8,18.46,12.39,9.78,7.93,1,-1e-30,0.0,0.7525,0.2473,1.657e-05,1.301e-05,5.428e-05,-1.0,0.0001304,-2.939,0.265,-1.786,-2.837,-3.16,-3.33,1.0510000000000002,15.093121911934876
120,0.00012351,-2.1,10.1,0.7900572419,2.4151968494,0.731,3.071,3.6586,0.817,7,0.0,0.405,27.82,17.92,12.05,9.5,7.71,1,-1e-30,0.0,0.7525,0.2473,1.658e-05,1.299e-05,5.43e-05,-1.0,0.0001304,-2.907,0.246,-1.772,-2.808,-3.128,-3.296,1.0359999999999998,15.122121911934876
121,0.00012351,-2.1,10.1,0.7900571227,2.4151968065,0.731,3.062,3.6591,0.828,7,0.0,0.405,27.21,17.59,11.83,9.33,7.56,1,-1e-30,0.0,0.7525,0.2473,1.658e-05,1.298e-05,5.43e-05,-1.0,0.0001304,-2.886,0.231,-1.764,-2.79,-3.107,-3.274,1.026,15.140121911934877
122,0.00012351,-2.1,10.1,0.7900570035,2.4151967636,0.731,3.053,3.6597,0.84,7,0.0,0.405,26.53,17.21,11.59,9.14,7.41,1,-1e-30,0.0,0.7525,0.2473,1.658e-05,1.298e-05,5.431e-05,-1.0,0.0001304,-2.862,0.215,-1.754,-2.768,-3.083,-3.249,1.0139999999999998,15.162121911934875
123,0.00012351,-2.1,10.1,0.7900569439,2.4151967421,0.731,3.054,3.6596,0.839,7,0.0,0.405,26.59,17.25,11.61,9.15,7.42,1,-1e-30,0.0,0.7525,0.2473,1.658e-05,1.297e-05,5.431e-05,-1.0,0.0001304,-2.864,0.216,-1.755,-2.77,-3.085,-3.251,1.0150000000000001,15.160121911934876
124,0.00012351,-2.1,10.1,0.7900568843,2.4151967207,0.731,3.057,3.6594,0.835,7,0.0,0.405,26.8,17.36,11.68,9.21,7.47,1,-1e-30,0.0,0.7525,0.2473,1.659e-05,1.297e-05,5.431e-05,-1.0,0.0001304,-2.871,0.22,-1.759,-2.777,-3.093,-3.259,1.0180000000000002,15.153121911934875
125,0.00012351,-2.1,10.1,0.7900564671,2.4151965705,0.731,3.058,3.6593,0.833,7,0.0,0.405,26.91,17.43,11.73,9.25,7.5,1,-1e-30,0.0,0.7526,0.2473,1.661e-05,1.289e-05,5.437e-05,-1.0,0.0001304,-2.876,0.223,-1.76,-2.781,-3.097,-3.263,1.0210000000000001,15.149121911934877
126,0.00012351,-2.1,10.1,0.7900550961,2.4151960771,0.731,3.034,3.6609,0.864,7,0.0,0.406,25.2,16.48,11.12,8.76,7.1,1,-1e-30,0.0,0.7528,0.2471,1.668e-05,1.272e-05,5.449e-05,-1.0,0.0001304,-2.814,0.181,-1.735,-2.725,-3.035,-3.198,0.99,15.205121911934874
127,0.00012351,-2.1,10.1,0.7900521755,2.4151950259,0.731,2.99,3.6635,0.918,7,0.0,0.408,22.47,14.95,10.13,7.97,6.46,1,-1e-30,0.0,0.753,0.2469,1.679e-05,1.247e-05,5.465e-05,-1.0,0.0001304,-2.706,0.119,-1.686,-2.627,-2.924,-3.082,0.9409999999999998,15.303121911934877
128,0.00012351,-2.1,10.1,0.7900488973,2.4151938459,0.731,2.949,3.6661,0.969,7,0.0,0.41,20.12,13.61,9.26,7.28,5.9,2,-1e-30,0.0,0.7532,0.2467,1.693e-05,1.22e-05,5.48e-05,-1.0,0.0001027,-2.602,0.071,-1.634,-2.531,-2.818,-2.971,0.8970000000000002,15.399121911934877
129,0.00012351,-2.1,10.1,0.7900457382,2.4151927088,0.731,2.909,3.6685,1.019,7,0.0,0.413,18.1,12.45,8.5,6.67,5.4,2,-1e-30,0.0,0.7535,0.2464,1.711e-05,1.192e-05,5.494e-05,-1.0,0.0001237,-2.502,0.039,-1.579,-2.438,-2.716,-2.865,0.8590000000000002,15.492121911934877
130,0.00012351,-2.1,10.1,0.7900422215,2.415191443,0.731,2.868,3.6709,1.07,7,0.0,0.417,16.25,11.36,7.79,6.11,4.94,2,-1e-30,0.0,0.7537,0.2461,1.731e-05,1.162e-05,5.504e-05,-1.0,0.0001304,-2.399,0.023,-1.515,-2.341,-2.612,-2.757,0.8260000000000003,15.589121911934875
